"";"PK_CAD";"TIPO_CLI";"TIPO_FAB";"TIPO_FOR";"TIPO_TRA";"TIPO_SERV";"TIPO_OUT";"RAZAO_SOCIAL";"FANTASIA";"CNPJ";"CPF";"INSC_EST";"INSC_MUM";"ENDERECO";"BAIRRO";"FK_CID";"CEP";"ENDE_COB";"BAIRRO_COB";"FK_CID_COB";"CEP_COB";"FONE1";"FONE2";"FAX";"HOMEPAGE";"FK_RAM";"LIMCREDITO";"OBSERVACAO";"FK_CADTRA";"FK_CPG";"TIPO_FRETE";"CREDITO_BLOQUEADO";"INATIVO";"FK_CPGREP";"FK_CADTRAREP";"TIPO_FRETE_REP";"CONS_INDUSTRIA";"DATA_CAD";"FK_USUCAD";"DATA_CAP_SOCIAL";"VLR_CAP_SOCIAL";"QTD_PROTESTOS";"QTD_CHQ_DEVOL";"OBSERV_CRED";"CONCEITO_CRED";"CONTATO_BANCO";"PER_ANA_CRED";"DT_ULT_AVALIACAO";"MATERIAL_COMPRA";"PERC_MAT_ESTOQUE";"PERC_MAT_ESPECIAL";"MOTIVO_RECADASTRO";"VAL_SOLIC_COMPRA";"FK_TPG";"DT_LIBFIN";"FK_USULIB";"AUDITVENDA";"ISENTOICMS";"MESESPRECO";"ISUF";"MALADIRETA";"FK_NAT";"OBS_LEGAL";"OBS_VENDA";"DDENTREGA";"FK_USUAVAL";"BLOQFATIPI";"SIMPLES";"SEMCOMPRA";"SEMCPR12";"IPI_PRIM";"CREDBLOQ";"FK_CAD_NOVO";"GERA_IPI";"DTRECCAD";"DTSOLCOMPL";"DTRECCOMPL";"DTTERMPROC";"AC_BLOQ";"AC_DEP";"FK_BCOCOB";"NAOAGRUPABLQ";"IMPRIME_FAB_ETIQ";"IMPRIME_DATAFAB_ETIQ";"FK_SUB";"FATUR_MINIMO";"MARKUP_MAODEOBRA";"MARKUP_MATPRIMA";"INTEGRACAO_XML";"REGIME_TRIBUTARIO";"INDUSTRIA_REVENDA";"TOLERANCIA_ANTECIPACAO";"TOLERANCIA_ATRASO";"NAOCONTRIBUINTE";"DIA_SEMANA_MRP";"OBS_PADRAO_OC";"REAJUSTE_LME";"REAJUSTE_DOLAR";"PERC_GATILHO";"REAJUSTE_CUSTO";"FREQUENCIA";"OBSERVACAO_REAJUSTE";"PLACA_PADRAO";"PLACA_PADRAO_UF";"TIPO_REAJUSTE_CABOS";"TIPO_REAJUSTE_OUTROS";"PERC_QTD_NFR_OC";"OBRIGAR_NFSE";"INCOTERM";"BANK_INFORMATION";"INVOICE_PAGTO_ANTECIP";"FK_MOE";"PRAZO_PAGAMENTO_PADRAO";"FOLLOWUP_AUTOMATICO";"CONSIDERA_PV_FLUXO_CAIXA";"DIA_SEMANA_VENCTO";"DIA_MES_VENCTO1";"DIA_MES_VENCTO2";"DIA_MES_VENCTO3";"FK_MAQ_PREFERENCIAL";"FK_NATCONSUMO"
159;973.0;"N";"N";"S";"N";"N";"N";"ACITEK TECNOLOGIA EM PRODUTOS LTDA";"ACITEK";"03.911.489/0001-41";"";"116.332.268.110";"";"AV. MIGUEL DE CASTRO, 997";"VILA ZATT";36.0;"02950-00";"AV. MIGUEL DE CASTRO, 997";"VILA ZATT";36.0;"02950-00";"(11) 3974.5694";"";"(11) 3974.5694";"www.acitek.com.br";"";"";"";993.0;2.0;"F";"N";"N";2.0;993.0;"";"";"2013-07-08 09:35:58.392";24.0;"";"";"";"";"";"";"";"";"";"";"";"";"";"";3.0;"";"";"N";"N";"";"";"N";83.0;"";"";"";"";"N";"N";"N";"N";"N";"N";"";"N";"1899-12-30 00:00:00.000";"1899-12-30 00:00:00.000";"1899-12-30 00:00:00.000";"1899-12-30 00:00:00.000";"N";"N";"";"N";"N";"N";"";"";"";"";"N";"S";"";2;0.0;"N";2.0;"";"N";"N";"";"";"";"";"";"";"";"";"";"S";"";"";"N";"";"";"S";"N";"";"";"";"";"";""
160;2214.0;"N";"N";"S";"N";"N";"N";"DISTRIBUIDORA FERRAMENTAS KENNEDY LTDA";"FERRAMENTAS KENNEDY";"00.915.086/0002-63";"";"9073061781";"";"AV JUSCELINO KUBITSCHEK DE OLIVEIRA, 651";"CIDADE INDUSTRIAL";12.0;"81280140";"AV JUSCELINO KUBITSCHEK DE OLIVEIRA, 651";"CIDADE INDUSTRIAL";12.0;"81280140";"41 3314-1880";"";"";"";"";"";"";"";"";"";"N";"N";"";"";"";"";"2019-03-28 11:08:25.904";213.0;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"N";"N";"";"";"N";"";"";"";"";"";"N";"N";"N";"N";"N";"N";"";"N";"1899-12-30 00:00:00.000";"1899-12-30 00:00:00.000";"1899-12-30 00:00:00.000";"1899-12-30 00:00:00.000";"N";"N";"";"N";"N";"N";"";"";"";"";"N";"";"";2;0.0;"N";2.0;"";"N";"N";"";"";"";"";"";"";"";"";"";"N";"";"";"N";"";"";"N";"N";"";"";"";"";"";""
161;974.0;"N";"N";"S";"N";"N";"N";"MURRELEKTRONIK DO BRASIL INDÚSTRIA E COMÉRCIO LTDA";"MURR";"00.507.405/0001-10";"";"114371178114";"23427399";"AV. INTERLGAGOS, 3493";"CAMPO GRANDE";36.0;"04661200";"AV. INTERLGAGOS, 3493";"CAMPO GRANDE";36.0;"04661200";"(11) 5632.3000";"";"(11) 5632.3022";"www.murrelektronik.com.br";"";"";"DDA 
OU
237 - Banco Bradesco
Ag. 3396-0
C/C.129780-5
CNPJ. 00.507.405/0001-10
";585.0;13.0;"F";"N";"N";"";585.0;"";"";"2013-07-08 09:42:46.517";24.0;"";"";"";"";"";"";"";"";"";"";"";"";"";"";3.0;"";"";"N";"N";"";"";"N";83.0;"";"";"";"";"N";"N";"N";"N";"N";"N";"";"N";"1899-12-30 00:00:00.000";"1899-12-30 00:00:00.000";"1899-12-30 00:00:00.000";"1899-12-30 00:00:00.000";"N";"N";"";"N";"N";"N";81.0;"";"";"";"N";"";"D";2;0.0;"N";2.0;"";"N";"N";"";"";"";"";"";"";"";"";"";"S";"";"";"N";"";"";"S";"N";"";"";"";"";"";""
162;2094.0;"N";"N";"S";"N";"S";"S";"ELETROACO COMERCIO DE MATERIAIS DE CONSTRUCAO LTDA";"ELETROACO COMERCIO DE MATERIAIS DE CONSTRUCAO LTDA";"92.178.458/0001-53";"";"";"";"AV SERTORIO, 3557";"SARANDI";1.0;"91030541";"AV SERTORIO, 3557";"SARANDI";1.0;"91030541";"(51) 325-3034";"";"";"";"";"";"";"";"";"";"N";"N";"";"";"";"";"2018-08-15 10:41:11.671";236.0;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"N";"N";"";"";"N";"";"";"";"";"";"N";"N";"N";"N";"N";"N";"";"N";"1899-12-30 00:00:00.000";"1899-12-30 00:00:00.000";"1899-12-30 00:00:00.000";"1899-12-30 00:00:00.000";"N";"N";"";"N";"N";"N";"";"";"";"";"N";"";"";2;0.0;"N";2.0;"";"N";"N";"";"";"";"";"";"";"";"";"";"N";"";"";"N";"";"";"N";"N";"";"";"";"";"";""
163;1010.0;"N";"N";"S";"N";"N";"N";"PRADO INDUSTRIA GRAFICA LTDA-EPP";"BRAUCH";"04.356.833/0001-40";"";"382.125.064.112";"";"CARLOS ZAMINIANI, 377";"JARDIM SAO LUIZ II";219.0;"13253060";"CARLOS ZAMINIANI, 377";"JARDIM SAO LUIZ II";219.0;"13253060";"(11) 4538.5830";"";"";"";"";"";"comercial@brauch.com.br

BANCO DO BRASIL
AG: 6545-5
CONTA: 1151-7";585.0;82.0;"F";"N";"N";"";585.0;"";"";"2013-09-02 14:09:11.745";10.0;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"N";"N";"";"";"N";83.0;"";"";"";"";"N";"N";"N";"N";"N";"N";"";"N";"1899-12-30 00:00:00.000";"1899-12-30 00:00:00.000";"1899-12-30 00:00:00.000";"1899-12-30 00:00:00.000";"N";"N";"";"N";"N";"N";"";"";"";"";"N";"";"";2;0.0;"N";2.0;"";"N";"N";"";"";"";"";"";"";"";"";"";"S";"";"";"N";"";"";"S";"N";"";"";"";"";"";""
164;977.0;"N";"N";"S";"N";"N";"N";"EUROCABOS MATERIAIS ELÉTRICOS LTDA";"EUROCABOS";"04.371.929/0001-88";"";"286235059115";"";"AV. PARANAPANEMA, 121";"TABOÃO";79.0;"09930450";"AV. PARANAPANEMA, 121";"TABOÃO";79.0;"09930450";"(11) 4092.9292";"";"(11) 4092.9299";"www.eurocabos.com.br";"";"";"Seguem dados para deposito:
priorizar -> Itaú – 341 – Ag. 0257 - C/C 82714-7

Santander - 033 – Ag. 0142 - C/C 13-003060-4  
Bradesco – 237-Ag. 0272-0 - C/C 135780-8  
Banco do Brasil – 001- Ag. 6884-5 - C/C 2317-5  

";585.0;2.0;"F";"N";"N";2.0;585.0;"";"";"2013-07-15 10:11:37.057";24.0;"";"";"";"";"";"";"";"";"";"";"";"";"";"";3.0;"";"";"N";"N";"";"";"N";83.0;"";"";"";"";"N";"N";"N";"N";"N";"N";"";"N";"1899-12-30 00:00:00.000";"1899-12-30 00:00:00.000";"1899-12-30 00:00:00.000";"1899-12-30 00:00:00.000";"N";"N";"";"N";"N";"N";"";"";"";"";"N";"";"";2;0.0;"N";2.0;"";"N";"N";"";"";"";"";"";"";"";"";"";"S";"";"";"N";"";"";"N";"N";"";"";"";"";"";""
165;1026.0;"N";"N";"S";"N";"N";"N";"MATV SUL ELETRONICOS LTDA";"MATV SUL";"72.094.642/0002-99";"";"0963097245";"";"AV. MADRID, 366 (LOJA 02 - ESQUINA C/ CEARÁ)";"NAVEGANTES";1.0;"90240560";"AV. MADRID, 366 (LOJA 02 - ESQUINA C/ CEARÁ)";"NAVEGANTES";1.0;"90240560";"(51) 3358.9021";"(51) 3358.9000";"";"www.matvsul.com.br";"";"";"";"";6.0;"";"N";"N";"";"";"";"";"2013-10-07 09:09:23.187";24.0;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"N";"N";"";"";"N";80.0;"";"";"";"";"N";"N";"N";"N";"N";"N";"";"N";"1899-12-30 00:00:00.000";"1899-12-30 00:00:00.000";"1899-12-30 00:00:00.000";"1899-12-30 00:00:00.000";"N";"N";"";"N";"N";"N";"";"";"";"";"N";"";"";2;0.0;"N";2.0;"";"N";"N";"";"";"";"";"";"";"";"";"";"S";"";"";"N";"";"";"N";"N";"";"";"";"";"";""
166;1932.0;"N";"N";"S";"N";"S";"S";"VIDA PRODUTOS E SERVICOS EM DESENVOLVIMENTO ECOLOGICO LTDA";"VIDA DESENVOLVIMENTO ECOLOGICO";"89.665.020/0008-61";"";"";"";"ANTIGA RS 32 KM 10 EST SANTA MARIA , CAIXA POSTAL 30";"ELDORADO DO SUL";7.0;"92990000";"ANTIGA RS 32 KM 10 EST SANTA MARIA , CAIXA POSTAL 30";"ELDORADO DO SUL";7.0;"92990000";"";"";"";"";4.0;"";"";"";"";"";"N";"N";"";"";"";"";"2018-02-20 14:59:31.450";68.0;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"N";"N";"";"";"N";"";"";"";"";"";"N";"N";"N";"N";"N";"N";"";"N";"1899-12-30 00:00:00.000";"1899-12-30 00:00:00.000";"1899-12-30 00:00:00.000";"1899-12-30 00:00:00.000";"N";"N";"";"N";"N";"N";"";"";"";"";"N";"";"";2;0.0;"N";2.0;"";"N";"N";"";"";"";"";"";"";"";"";"";"N";"";"";"N";"";"";"N";"N";"";"";"";"";"";""
167;975.0;"N";"N";"S";"N";"N";"N";"PLASTFLOW IND. E COM. DE EQUIPAMENTOS DE MEDIÇÃO LTDA";"PLASTFLOW";"79.533.956/0002-90";"";"9021602482";"";"RUA REINALDO BALDAN, 13";"AGARAÚ";49.0;"83183000";"RUA REINALDO BALDAN, 13";"AGARAÚ";49.0;"83183000";"(41) 3282.0298";"";"";"www.plastflow.com.br";"";"";"Bradesco (depositar sempre nesta conta).
AG:2222-5
C/C: 18471-3

";585.0;2.0;"F";"N";"N";"";585.0;"";"";"2013-07-08 16:44:25.189";24.0;"";"";"";"";"";"";"";"";"";"";"";"";"";"";3.0;"";"";"N";"N";"";"";"N";83.0;"";"";"";"";"N";"N";"N";"N";"N";"N";"";"N";"1899-12-30 00:00:00.000";"1899-12-30 00:00:00.000";"1899-12-30 00:00:00.000";"1899-12-30 00:00:00.000";"N";"N";"";"N";"N";"N";86.0;"";"";"";"N";"S";"I";2;0.0;"N";2.0;"";"N";"N";"";"";"";"";"";"";"";"";"";"S";"";"";"N";"";"";"S";"N";"";"";"";"";"";""
168;1032.0;"N";"N";"S";"N";"N";"N";"J M GURGEL";"LOJA DO MECANICO";"09.556.239/0001-17";"";"310441892115";"";"RODOVIA JOAO TRAFICANTE, KM 2,5";"RECANTO TAPAJOS";220.0;"14402347";"RODOVIA JOAO TRAFICANTE, KM 2,5";"RECANTO TAPAJOS";220.0;"14402347";"(16) 2103.0800";"";"";"www.lojadomecanico.com.br";"";"";"";"";"";"";"N";"N";"";"";"";"";"2013-10-14 09:29:51.921";24.0;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"N";"N";"";"";"N";83.0;"";"";"";"";"N";"N";"N";"N";"N";"N";"";"N";"1899-12-30 00:00:00.000";"1899-12-30 00:00:00.000";"1899-12-30 00:00:00.000";"1899-12-30 00:00:00.000";"N";"N";"";"N";"N";"N";"";"";"";"";"N";"";"";2;0.0;"N";2.0;"";"N";"N";"";"";"";"";"";"";"";"";"";"S";"";"";"N";"";"";"N";"N";"";"";"";"";"";""
169;1002.0;"S";"S";"S";"S";"S";"S";"CRISTIANE BARCHET PINHEIRO";"CASA DOS PARAFUSOS E CIA";"15.700.773/0001-58";"";"058/0135640";"";"AV CASTELO BRANCO, 3280";"MORADAS DA COLINA";10.0;"92500000";"AV CASTELO BRANCO, 3280";"MORADAS DA COLINA";10.0;"92500000";"(51) 3402.3064";"";"";"";6.0;500.0;"Agencia: 0155
Conta: 56071-5
Banco Sicredi
";"";29.0;"";"N";"N";"";"";"";"";"2013-08-19 14:05:28.133";6.0;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"N";"N";"";"";"N";80.0;"";"";"";"";"N";"N";"S";"S";"N";"N";"";"N";"1899-12-30 00:00:00.000";"1899-12-30 00:00:00.000";"1899-12-30 00:00:00.000";"1899-12-30 00:00:00.000";"N";"N";"";"N";"N";"N";"";"";"";"";"N";"";"";2;0.0;"N";2.0;"";"N";"N";"";"";"";"";"";"";"";"";"";"S";"";"";"N";"";"";"N";"N";"";"";"";"";"";""
170;997.0;"N";"N";"S";"N";"N";"N";"ARROW BRASIL S.A";"ARROW";"43.076.082/0001-60";"";"108583488116";"12288802";"RUA JOSÉ GOMES FALCÃO, 111";"BARRA FUNDA";36.0;"01139010";"RUA JOSÉ GOMES FALCÃO, 111";"BARRA FUNDA";36.0;"01139010";"(11) 3613.9300";"";"(11) 3613.9355";"www.arrowbrasil.com.br";"";"";"E-mail para envio arquivo XML: nfe@arrowbrasil.com.";995.0;15.0;"F";"N";"N";"";"";"";"";"2013-08-12 10:42:55.875";24.0;"";"";"";"";"";"";"";"";"";"";"";"";"";"";3.0;"";"";"N";"N";"";"";"N";83.0;"";"";"";"";"N";"N";"N";"N";"N";"N";"";"N";"1899-12-30 00:00:00.000";"1899-12-30 00:00:00.000";"1899-12-30 00:00:00.000";"1899-12-30 00:00:00.000";"N";"N";"";"N";"N";"N";"";"";"";"";"N";"";"";4;0.0;"N";2.0;"";"N";"N";"";"";"";"";"";"";"";"";"";"S";"";"";"N";"";"";"S";"N";"";"";"";"";"";""
171;1003.0;"S";"N";"N";"N";"N";"N";"SPRINGER CARRIER LTDA";"SPRINGER CARRIER";"10.948.651/0001-61";"";"024/0114736";"";"BERTO CIRIO,521";"SAO LUIS";11.0;"92420030";"BERTO CIRIO,521";"SAO LUIS";11.0;"92420030";"(51) 3477.9500";"51 -3477.9063";"";"";1.0;100000.0;"BANCO ITAU
AG 1803
CONTA 052008


nsouza@mideacarrier.com
contasapagar@mideacarrier.com";1025.0;82.0;"F";"N";"N";"";"";"";"I";"2013-08-19 15:47:19.031";10.0;"";"";"";"";"";"";"";"";"";"";"";"";"";"";3.0;"";"";"N";"N";"";"";"N";28.0;"";"";"";"";"N";"N";"N";"N";"N";"N";"";"N";"1899-12-30 00:00:00.000";"1899-12-30 00:00:00.000";"1899-12-30 00:00:00.000";"1899-12-30 00:00:00.000";"N";"N";7.0;"N";"N";"N";"";"";"";"";"N";"";"";2;0.0;"N";2.0;"";"S";"N";3.0;"A";1.0;"";"";"";"L";"N";"";"S";"";"";"N";"";"";"N";"S";"";"";"";"";"";28.0
172;1951.0;"N";"S";"S";"N";"N";"N";"METAIS BLUMENAU";"METAIS BLUMENAU";"06.788.014/0001-06";"";"255121482";"";"RUA RUDOLF ROEDEL, 309, BLOCO B";"SALTO WEISSBACH";51.0;"89038080";"RUA RUDOLF ROEDEL, 309, BLOCO B";"SALTO WEISSBACH";51.0;"89038080";"47-3334.5919";"";"";"www.metaisblumenau.com.br";"";"";"";"";"";"";"N";"N";"";"";"";"";"2018-03-12 13:25:30.764";64.0;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"N";"N";"";"";"N";"";"";"";"";"";"N";"N";"N";"N";"N";"N";"";"N";"1899-12-30 00:00:00.000";"1899-12-30 00:00:00.000";"1899-12-30 00:00:00.000";"1899-12-30 00:00:00.000";"N";"N";"";"N";"N";"N";"";"";"";"";"N";"";"";2;1.0;"N";2.0;"";"N";"N";"";"";"";"";"";"";"";"";"";"N";"";"";"N";"";"";"N";"N";"";"";"";"";"";""
173;2237.0;"N";"N";"S";"N";"N";"N";"ENTRAN EQUIPAMENTOS E TRANSFORMADORES";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"N";"S";"";"";"";"";"2019-05-28 14:18:43.859";66.0;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"N";"N";"";"";"N";"";"";"";"";"";"N";"N";"N";"N";"N";"N";"";"N";"1899-12-30 00:00:00.000";"1899-12-30 00:00:00.000";"1899-12-30 00:00:00.000";"1899-12-30 00:00:00.000";"N";"N";"";"N";"N";"N";"";"";"";"";"N";"";"";2;0.0;"N";2.0;"";"N";"N";"";"";"";"";"";"";"";"";"";"N";"";"";"N";"";"";"N";"N";"";"";"";"";"";""
174;1005.0;"N";"N";"S";"N";"N";"N";"FREIOS CONTROIL LTDA";"FREIOS CONTROIL";"90.492.695/0001-69";"";"";"";"CAPITAO ARMINDO BIER, 205";"VICENTINA";5.0;"93025360";"CAPITAO ARMINDO BIER, 205";"VICENTINA";5.0;"93025360";"(51) 2111.9400";"";"";"";"";"";"ITAÚ
AG: 0295
C/C: 24016-2
CNPJ: 90.492.695/0001-69
";993.0;2.0;"F";"N";"N";"";"";"";"";"2013-08-20 14:38:05.250";24.0;"";"";"";"";"";"";"";"";"";"";"";"";"";"";3.0;"";"";"N";"N";"";"";"N";80.0;"";"";"";"";"N";"N";"N";"N";"N";"N";"";"N";"1899-12-30 00:00:00.000";"1899-12-30 00:00:00.000";"1899-12-30 00:00:00.000";"1899-12-30 00:00:00.000";"N";"N";"";"N";"N";"N";"";"";"";"";"N";"";"";2;0.0;"N";2.0;"";"N";"N";"";"";"";"";"";"";"";"";"";"S";"";"";"N";"";"";"N";"N";"";"";"";"";"";""
175;2196.0;"N";"S";"S";"N";"N";"N";"LS SANTOS METALÚRGICA";"EMPRESA DO GRUPO TOQUE COLOR";"15.062.473/0001-90";"";"305.154.755.118";"";"RUA DAS INDÚSTRIAS, 170";"VILA IOLANDA";293.0;"08539200";"RUA DAS INDÚSTRIAS, 170";"VILA IOLANDA";293.0;"08539200";"(11) 4675-9487";"";"";"";"";"";"Itaú
Agência: 1601
C/C: 20024-7
Fone: (11) 3004-6543";995.0;2.0;"F";"N";"N";"";"";"";"";"2019-02-14 15:42:54.492";165.0;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"N";"N";"";"";"N";"";"";"";"";"";"N";"N";"N";"N";"N";"N";"";"N";"1899-12-30 00:00:00.000";"1899-12-30 00:00:00.000";"1899-12-30 00:00:00.000";"1899-12-30 00:00:00.000";"N";"N";"";"N";"N";"N";"";"";"";"";"N";"";"";2;0.0;"N";2.0;"";"N";"N";"";"";"";"";"";"";"";"";"";"N";"";"";"N";"";"";"N";"N";"";"";"";"";"";""
176;976.0;"N";"N";"S";"N";"N";"N";"KAP COMPONENTES ELÉTRICOS LTDA";"KAP";"61.094.165/0001-64";"";"103401318114";"";"RUA CARMO DO RIO VERDE, 78";"JARDIM CARAVELAS";36.0;"04729010";"RUA CARMO DO RIO VERDE, 78";"JARDIM CARAVELAS";36.0;"04729010";"(51) 3343.2846";"(11) 56454444";"(51) 3342.2767";"www.kap.com.br";"";"";"Endereço Escritório POA:

Av São Pedro, 1082 - Sala 301 - São Geraldo
Ac Afonso";585.0;2.0;"F";"N";"N";"";585.0;"";"";"2013-07-09 13:45:51.531";24.0;"";"";"";"";"";"";"";"";"";"";"";"";"";"";3.0;"";"";"N";"N";"";"";"N";83.0;"";"";"";"";"N";"N";"N";"N";"N";"N";"";"N";"1899-12-30 00:00:00.000";"1899-12-30 00:00:00.000";"1899-12-30 00:00:00.000";"1899-12-30 00:00:00.000";"N";"N";"";"N";"N";"N";"";"";"";"";"N";"";"D";4;0.0;"N";2.0;"";"N";"N";"";"";"";"";"";"";"";"";"";"S";"";"";"N";"";"";"S";"N";"";"";"";"";"";""
177;1050.0;"S";"S";"S";"S";"S";"S";"SANDRA REGINA LIMA DUARTE ME";"MARAGUA DISTRIBUIDORA DE BEBIDAS";"19.354.959/0001-53";"";"";"";"RUA BENTO GONÇALVES, 373";"CENTRO";10.0;"92500000";"RUA BENTO GONÇALVES, 373";"CENTRO";10.0;"92500000";"(51) 34801540";"";"";"";6.0;1000.0;"BANCO CAIXA
AG:0479
C/C:00002.024-9  OP:003
TITULAR DA CONTA: SANDRA REGINA LIMA DUARTE ME
";2.0;1.0;"C";"N";"N";7.0;3.0;"C";"";"2014-01-09 09:23:55.098";27.0;"";"";"";"";"";"";"";"";"";"";"";"";"";"";3.0;"";"";"N";"N";"";"";"N";80.0;"";"";"";"";"N";"N";"S";"S";"N";"N";"";"N";"1899-12-30 00:00:00.000";"1899-12-30 00:00:00.000";"1899-12-30 00:00:00.000";"1899-12-30 00:00:00.000";"N";"N";"";"N";"N";"N";"";"";"";"";"N";"";"";2;0.0;"N";2.0;"";"N";"N";"";"";"";"";"";"";"";"";"";"S";"";"";"N";"";"";"N";"N";"";"";"";"";"";""
178;982.0;"S";"S";"S";"S";"S";"S";"E M DA SILVA NUNES - EPP";"LIVRARIA ESCOLAO";"94.196.722/0001-07";"";"";"";"RUA SAO JOSE, 235 APTO 201";"CENTRO";10.0;"9250000";"RUA SAO JOSE, 235 APTO 201";"CENTRO";10.0;"9250000";"(51) 3055.2200";"";"";"";6.0;500.0;"VERIFICAR NO DDA PRIMEIRO
BRADESCO
AG 1972
CC 7748-8";"";2.0;"";"N";"N";"";"";"";"";"2013-07-19 11:23:49.795";6.0;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"N";"N";"";"";"N";80.0;"";"";"";"";"N";"N";"S";"S";"N";"N";"";"N";"1899-12-30 00:00:00.000";"1899-12-30 00:00:00.000";"1899-12-30 00:00:00.000";"1899-12-30 00:00:00.000";"N";"N";"";"N";"N";"N";"";"";"";"";"N";"";"";2;0.0;"N";2.0;"";"N";"N";"";"";"";"";"";"";"";"";"";"S";"";"";"N";"";"";"N";"N";"";"";"";"";"";""
179;1038.0;"N";"N";"S";"N";"N";"N";"ITU COMPONENTES INDUSTRIA E COMERCIO LTDA";"ITU COMPONENTES";"11.068.019/0001-96";"";"600084361112";"";"ESTRADA JURUMIRIM, 270";"PORTO GOES";167.0;"13324180";"RUA MARIA TEODORA LUI TOMBA, 120";"JD. SANTA TEREZA";100.0;"13311042";"(11) 4602 5652";"(11) 99725.4269";"(11) 4602 1292";"";"";"";"";995.0;2.0;"F";"N";"N";3.0;995.0;"";"";"2013-11-08 10:33:48.829";24.0;"";"";"";"";"";"";"";"";"";"";"";"";"";"";3.0;"";"";"N";"N";"";"";"N";83.0;"";"";"";"";"N";"N";"N";"N";"N";"N";"";"N";"1899-12-30 00:00:00.000";"1899-12-30 00:00:00.000";"1899-12-30 00:00:00.000";"1899-12-30 00:00:00.000";"N";"N";"";"N";"N";"N";"";"";"";"";"N";"";"";3;0.0;"N";2.0;"";"N";"N";"";"";"";"";"";"";"";"";"";"S";"";"";"N";"";"";"S";"N";"";"";"";"";"";""
180;969.0;"S";"S";"S";"S";"S";"S";"ESTINSUL EQUIPAMENTOS DE PREVENCAO CONTRA INCENDIO LTDA EPP";"ESTINSUL";"94.395.811/0001-82";"";"096/2255408";"";"RUA ITAPUI , 331";"SARANDI";1.0;"91130420";"RUA ITAPUI , 331";"SARANDI";1.0;"91130420";"(51) 3364.2891";"(51) 3364.5756";"";"";6.0;50000.0;"SANTANDER 
AG: 3304
C/C: 13002468-4
CNPJ: 94.395.811/0001-82";"";16.0;"";"N";"N";"";"";"";"";"2013-07-02 16:36:19.958";6.0;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"N";"N";"";"";"N";80.0;"";"";"";"";"N";"N";"S";"S";"N";"N";"";"N";"1899-12-30 00:00:00.000";"1899-12-30 00:00:00.000";"1899-12-30 00:00:00.000";"1899-12-30 00:00:00.000";"N";"N";"";"N";"N";"N";"";"";"";"";"N";"";"";2;0.0;"N";2.0;"";"N";"N";"";"";"";"";"";"";"";"";"";"S";"";"";"N";"";"";"N";"N";"";"";"";"";"";""
181;1056.0;"S";"S";"S";"S";"S";"S";"CLF PLASTICOS LTDA";"CLF";"59.164.103/0001-30";"";"299008464113";"";"AV. PEDRO DE MORAES, 55";"PQ. INDL.";103.0;"06900000";"NAGIB MIGUEL CIUFE, 31";"CHACARA SANTO ANTONIO";36.0;"04711120";"(11) 4661.2440";"(11) 5181.4622";"(11) 5181.4661";"www.clfplasticos.com.br";"";"";"";585.0;2.0;"F";"N";"N";"";"";"F";"";"2014-01-23 07:47:55.828";24.0;"";"";"";"";"";"";"";"";"";"";"";"";"";"";3.0;"";"";"N";"N";"";"";"N";83.0;"";"";"";"";"N";"N";"S";"S";"N";"N";"";"N";"1899-12-30 00:00:00.000";"1899-12-30 00:00:00.000";"1899-12-30 00:00:00.000";"1899-12-30 00:00:00.000";"N";"N";"";"N";"N";"N";"";"";"";"";"N";"";"";3;0.0;"N";2.0;"";"N";"N";"";"";"";"";"";"";"";"";"";"S";"";"";"N";"";"";"S";"N";"";"";"";"";"";""
